reactor,run,echem,rep,minutes,E_from_maxs,t_from_maxs,electrode,current_from_maxs,exp,max_current,E_from_mins,t_from_mins,current_from_mins,min_current,signal
soak,1,GC,1,944.4,-0.399,133.33363,i2,1.0390906e-6,1,1.0390906e-6,-0.141,47.333298,4.8203891e-8,4.8203891e-8,9.908867089999999e-7
soak,1,GC,2,947.65,-0.399,133.33363,i2,1.0383558e-6,1,1.0383558e-6,-0.151,50.666618,4.2041052e-8,4.2041052e-8,9.96314748e-7
transfer,1,GC,1,954.3666666666667,-0.399,133.33363,i2,3.3464687e-7,1,3.3464687e-7,-0.163,54.666603,2.9937162e-8,2.9937162e-8,3.0470970800000003e-7
transfer,1,GC,10,979.7833333333333,-0.399,133.33363,i2,2.6450426e-8,1,2.6450426e-8,-0.199,66.666588,8.8495549e-9,8.8495549e-9,1.7600871099999997e-8
transfer,1,GC,11,983.1666666666666,-0.399,133.33363,i2,2.2212088e-8,1,2.2212088e-8,-0.205,68.666603,8.9830365e-9,8.9830365e-9,1.3229051499999999e-8
transfer,1,GC,12,985.9666666666667,-0.399,133.33363,i2,2.1074179e-8,1,2.1074179e-8,-0.198,66.333252,7.8754825e-9,7.8754825e-9,1.3198696500000002e-8
transfer,1,GC,13,988.65,-0.399,133.33363,i2,1.8669674e-8,1,1.8669674e-8,-0.204,68.333267,7.5017983e-9,7.5017983e-9,1.11678757e-8
transfer,1,GC,14,991.4166666666666,-0.399,133.33363,i2,1.5683634e-8,1,1.5683634e-8,-0.209,69.999947,7.0139632e-9,7.0139632e-9,8.669670799999999e-9
transfer,1,GC,15,994.2333333333333,-0.399,133.33363,i2,1.5353406e-8,1,1.5353406e-8,-0.209,69.999947,6.9153101e-9,6.9153101e-9,8.438095899999998e-9
transfer,1,GC,2,957.1,-0.399,133.33363,i2,1.9688729e-7,1,1.9688729e-7,-0.169,56.666595,2.3909644e-8,2.3909644e-8,1.72977646e-7
transfer,1,GC,3,959.8333333333334,-0.399,133.33363,i2,1.3323783e-7,1,1.3323783e-7,-0.167,55.999931,2.0071671e-8,2.0071671e-8,1.1316615900000002e-7
transfer,1,GC,4,962.5833333333334,-0.399,133.33363,i2,9.4199699e-8,1,9.4199699e-8,-0.178,59.666584,1.6744776e-8,1.6744776e-8,7.7454923e-8
transfer,1,GC,5,965.45,-0.399,133.33363,i2,7.0591526e-8,1,7.0591526e-8,-0.184,61.666576,1.4271574e-8,1.4271574e-8,5.6319952e-8
transfer,1,GC,6,968.2,-0.399,133.33363,i2,5.5431819e-8,1,5.5431819e-8,-0.179,59.999916,1.2711252e-8,1.2711252e-8,4.2720567e-8
transfer,1,GC,7,970.9,-0.399,133.33363,i2,4.3159424e-8,1,4.3159424e-8,-0.19,63.666569,1.133466e-8,1.133466e-8,3.1824764e-8
transfer,1,GC,8,974.1166666666667,-0.399,133.33363,i2,3.3903586e-8,1,3.3903586e-8,-0.195,65.333244,1.006383e-8,1.006383e-8,2.3839755999999995e-8
transfer,1,GC,9,976.9333333333333,-0.399,133.33363,i2,2.9271593e-8,1,2.9271593e-8,-0.198,66.333252,9.2782768e-9,9.2782768e-9,1.9993316200000004e-8
soak,2,GC,1,1014.75,-0.399,133.33363,i2,8.6088323e-7,1,8.6088323e-7,-0.156,52.333279,2.6883942e-8,2.6883942e-8,8.33999288e-7
transfer,2,GC,1,1020.0833333333334,-0.399,133.33363,i2,1.5488308e-7,1,1.5488308e-7,-0.176,58.99992,1.5244606e-8,1.5244606e-8,1.39638474e-7
transfer,2,GC,10,1045.05,-0.399,133.33363,i2,1.1268838e-8,1,1.1268838e-8,-0.213,71.33329,5.8250906e-9,5.8250906e-9,5.4437473999999995e-9
transfer,2,GC,11,1047.9166666666667,-0.399,133.33363,i2,1.0727723e-8,1,1.0727723e-8,-0.217,72.666634,5.6336154e-9,5.6336154e-9,5.0941075999999995e-9
transfer,2,GC,12,1050.6666666666667,-0.399,133.33363,i2,9.9771587e-9,1,9.9771587e-9,-0.218,72.999969,5.3440461e-9,5.3440461e-9,4.6331125999999995e-9
transfer,2,GC,13,1053.6166666666666,-0.399,133.33363,i2,9.8222683e-9,1,9.8222683e-9,-0.218,72.999969,5.40859e-9,5.40859e-9,4.4136783e-9
transfer,2,GC,14,1056.4,-0.399,133.33363,i2,8.8099332e-9,1,8.8099332e-9,-0.221,73.999977,5.1714228e-9,5.1714228e-9,3.638510399999999e-9
transfer,2,GC,15,1059.15,-0.399,133.33363,i2,7.9454585e-9,1,7.9454585e-9,-0.222,74.333313,4.9423234e-9,4.9423234e-9,3.0031350999999997e-9
transfer,2,GC,2,1022.8333333333334,-0.399,133.33363,i2,8.063148e-8,1,8.063148e-8,-0.183,61.333244,1.1425086e-8,1.1425086e-8,6.920639399999999e-8
transfer,2,GC,3,1025.6166666666666,-0.399,133.33363,i2,4.9406939e-8,1,4.9406939e-8,-0.189,63.333237,9.8820996e-9,9.8820996e-9,3.9524839399999997e-8
transfer,2,GC,4,1028.2833333333333,-0.399,133.33363,i2,3.3036876e-8,1,3.3036876e-8,-0.196,65.66658,8.2653031e-9,8.2653031e-9,2.47715729e-8
transfer,2,GC,5,1030.9833333333333,-0.399,133.33363,i2,2.6007804e-8,1,2.6007804e-8,-0.201,67.33326,7.6991853e-9,7.6991853e-9,1.83086187e-8
transfer,2,GC,6,1034.1666666666667,-0.399,133.33363,i2,2.0422588e-8,1,2.0422588e-8,-0.207,69.333275,7.371991e-9,7.371991e-9,1.3050597000000001e-8
transfer,2,GC,7,1036.8166666666666,-0.399,133.33363,i2,1.6998001e-8,1,1.6998001e-8,-0.207,69.333275,6.6390804e-9,6.6390804e-9,1.0358920600000001e-8
transfer,2,GC,8,1039.5833333333333,-0.399,133.33363,i2,1.4154788e-8,1,1.4154788e-8,-0.211,70.666618,6.3169994e-9,6.3169994e-9,7.8377886e-9
transfer,2,GC,9,1042.3,-0.399,133.33363,i2,1.2988999e-8,1,1.2988999e-8,-0.212,70.999954,5.9018568e-9,5.9018568e-9,7.087142199999999e-9
soak,3,GC,1,1104.8333333333333,-0.399,133.33363,i2,9.8395549e-7,1,9.8395549e-7,-0.157,52.666611,3.7910748e-8,3.7910748e-8,9.460447419999999e-7
transfer,3,GC,1,1111.4833333333333,-0.399,133.33363,i2,2.4151404e-7,1,2.4151404e-7,-0.173,57.999924,2.4928131e-8,2.4928131e-8,2.16585909e-7
transfer,3,GC,10,1136.5333333333333,-0.399,133.33363,i2,1.8555285e-8,1,1.8555285e-8,-0.205,68.666603,6.9525345e-9,6.9525345e-9,1.1602750500000001e-8
transfer,3,GC,11,1139.25,-0.399,133.33363,i2,1.6692214e-8,1,1.6692214e-8,-0.208,69.666611,6.8481296e-9,6.8481296e-9,9.844084399999999e-9
transfer,3,GC,12,1142.0833333333333,-0.399,133.33363,i2,1.5177665e-8,1,1.5177665e-8,-0.209,69.999947,6.499608e-9,6.499608e-9,8.678057000000002e-9
transfer,3,GC,13,1144.8833333333334,-0.399,133.33363,i2,1.3730538e-8,1,1.3730538e-8,-0.211,70.666618,6.3253069e-9,6.3253069e-9,7.405231100000001e-9
transfer,3,GC,14,1147.6333333333334,-0.399,133.33363,i2,1.266572e-8,1,1.266572e-8,-0.214,71.666626,6.1947811e-9,6.1947811e-9,6.470938900000001e-9
transfer,3,GC,15,1150.4333333333334,-0.399,133.33363,i2,1.2138425e-8,1,1.2138425e-8,-0.213,71.33329,5.8369136e-9,5.8369136e-9,6.3015114000000005e-9
transfer,3,GC,2,1114.3,-0.399,133.33363,i2,1.3029612e-7,1,1.3029612e-7,-0.181,60.66658,1.7528331e-8,1.7528331e-8,1.12767789e-7
transfer,3,GC,3,1117,-0.399,133.33363,i2,8.9127084e-8,1,8.9127084e-8,-0.183,61.333244,1.4216694e-8,1.4216694e-8,7.491039e-8
transfer,3,GC,4,1119.75,-0.399,133.33363,i2,6.1866494e-8,1,6.1866494e-8,-0.188,62.999905,1.1784391e-8,1.1784391e-8,5.0082103e-8
transfer,3,GC,5,1122.4833333333333,-0.399,133.33363,i2,4.6520508e-8,1,4.6520508e-8,-0.194,64.999908,1.0103291e-8,1.0103291e-8,3.6417217e-8
transfer,3,GC,6,1125.3166666666666,-0.399,133.33363,i2,3.6709334e-8,1,3.6709334e-8,-0.198,66.333252,9.2082209e-9,9.2082209e-9,2.7501113100000004e-8
transfer,3,GC,7,1128.3,-0.399,133.33363,i2,2.8860363e-8,1,2.8860363e-8,-0.201,67.33326,8.4058938e-9,8.4058938e-9,2.0454469200000003e-8
transfer,3,GC,8,1131.0833333333333,-0.399,133.33363,i2,2.4386376e-8,1,2.4386376e-8,-0.201,67.33326,7.7839379e-9,7.7839379e-9,1.66024381e-8
transfer,3,GC,9,1133.8166666666666,-0.399,133.33363,i2,2.0584906e-8,1,2.0584906e-8,-0.205,68.666603,7.2870772e-9,7.2870772e-9,1.32978288e-8
control,transfer,0,NA,924.6333333333333,-0.399,133.33363,i2,2.9116622e-9,1,2.9116622e-9,-0.338,113.00027,2.545407e-9,2.545407e-9,3.6625520000000006e-10
soak,1,GC,1,918.75,-0.399,133.33363,i2,1.0505896e-6,2,1.0505896e-6,-0.143,47.999962,2.9070039e-8,2.9070039e-8,1.021519561e-6
transfer,1,GC,1,925.5333333333333,-0.399,133.33363,i2,1.511123e-7,2,1.511123e-7,-0.163,54.666603,1.5710819e-8,1.5710819e-8,1.35401481e-7
transfer,1,GC,10,950.95,-0.399,133.33363,i2,2.5776037e-8,2,2.5776037e-8,-0.203,67.999931,6.6347936e-9,6.6347936e-9,1.91412434e-8
transfer,1,GC,11,953.6333333333333,-0.399,133.33363,i2,2.4504031e-8,2,2.4504031e-8,-0.19,63.666569,6.5173196e-9,6.5173196e-9,1.7986711399999998e-8
transfer,1,GC,12,956.35,-0.399,133.33363,i2,2.2027375e-8,2,2.2027375e-8,-0.195,65.333244,6.2776433e-9,6.2776433e-9,1.57497317e-8
transfer,1,GC,13,959.0833333333334,-0.399,133.33363,i2,1.9099614e-8,2,1.9099614e-8,-0.188,62.999905,5.6934617e-9,5.6934617e-9,1.3406152299999998e-8
transfer,1,GC,14,961.8,-0.399,133.33363,i2,1.9159769e-8,2,1.9159769e-8,-0.195,65.333244,5.807391e-9,5.807391e-9,1.3352378e-8
transfer,1,GC,15,964.5166666666667,-0.399,133.33363,i2,1.738926e-8,2,1.738926e-8,-0.2,66.999924,5.3326477e-9,5.3326477e-9,1.20566123e-8
transfer,1,GC,2,928.3666666666667,-0.399,133.33363,i2,9.1375128e-8,2,9.1375128e-8,-0.172,57.666592,1.4221825e-8,1.4221825e-8,7.715330299999999e-8
transfer,1,GC,3,931.05,-0.399,133.33363,i2,7.6917729e-8,2,7.6917729e-8,-0.182,60.999912,1.2848411e-8,1.2848411e-8,6.406931799999999e-8
transfer,1,GC,4,934.25,-0.399,133.33363,i2,5.9612823e-8,2,5.9612823e-8,-0.157,52.666611,1.1366509e-8,1.1366509e-8,4.8246313999999995e-8
transfer,1,GC,5,937.4,-0.399,133.33363,i2,5.3605909e-8,2,5.3605909e-8,-0.193,64.666573,1.1011132e-8,1.1011132e-8,4.2594777e-8
transfer,1,GC,6,940.0833333333334,-0.399,133.33363,i2,4.0711488e-8,2,4.0711488e-8,-0.192,64.333237,9.5289909e-9,9.5289909e-9,3.1182497100000005e-8
transfer,1,GC,7,942.8333333333334,-0.399,133.33363,i2,4.0746706e-8,2,4.0746706e-8,-0.196,65.66658,7.8349478e-9,7.8349478e-9,3.2911758199999996e-8
transfer,1,GC,8,945.5,-0.399,133.33363,i2,3.3331041e-8,2,3.3331041e-8,-0.193,64.666573,7.3065491e-9,7.3065491e-9,2.6024491899999998e-8
transfer,1,GC,9,948.25,-0.399,133.33363,i2,3.0446891e-8,2,3.0446891e-8,-0.19,63.666569,7.1604744e-9,7.1604744e-9,2.3286416600000005e-8
soak,2,GC,1,986.9166666666666,-0.399,133.33363,i2,9.9994793e-7,2,9.9994793e-7,-0.16,53.666607,2.7450925e-8,2.7450925e-8,9.72497005e-7
transfer,2,GC,1,993.8166666666667,-0.399,133.33363,i2,1.5865442e-7,2,1.5865442e-7,-0.154,51.666615,9.71513e-9,9.71513e-9,1.4893929e-7
transfer,2,GC,10,1019.2166666666667,-0.399,133.33363,i2,1.1112296e-8,2,1.1112296e-8,-0.21,70.333282,4.2233768e-9,4.2233768e-9,6.8889192e-9
transfer,2,GC,11,1022.15,-0.399,133.33363,i2,9.7135944e-9,2,9.7135944e-9,-0.208,69.666611,3.8107975e-9,3.8107975e-9,5.9027969e-9
transfer,2,GC,12,1024.95,-0.399,133.33363,i2,8.4999678e-9,2,8.4999678e-9,-0.207,69.333275,3.6040948e-9,3.6040948e-9,4.895873e-9
transfer,2,GC,13,1027.6666666666667,-0.399,133.33363,i2,1.0945657e-8,2,1.0945657e-8,-0.205,68.666603,3.5503214e-9,3.5503214e-9,7.3953356000000005e-9
transfer,2,GC,14,1030.3666666666666,-0.399,133.33363,i2,1.0811991e-8,2,1.0811991e-8,-0.213,71.33329,3.543112e-9,3.543112e-9,7.268879e-9
transfer,2,GC,15,1033.1,-0.399,133.33363,i2,8.8444718e-9,2,8.8444718e-9,-0.213,71.33329,3.6754773e-9,3.6754773e-9,5.1689945e-9
transfer,2,GC,2,996.8833333333333,-0.399,133.33363,i2,7.9615504e-8,2,7.9615504e-8,-0.175,58.666588,7.7316562e-9,7.7316562e-9,7.18838478e-8
transfer,2,GC,3,1000.0166666666667,-0.399,133.33363,i2,4.2046608e-8,2,4.2046608e-8,-0.185,61.999908,5.9461382e-9,5.9461382e-9,3.61004698e-8
transfer,2,GC,4,1002.7166666666667,-0.399,133.33363,i2,3.1071963e-8,2,3.1071963e-8,-0.191,63.999901,5.0640163e-9,5.0640163e-9,2.6007946699999998e-8
transfer,2,GC,5,1005.45,-0.399,133.33363,i2,2.2774886e-8,2,2.2774886e-8,-0.192,64.333237,4.7432658e-9,4.7432658e-9,1.80316202e-8
transfer,2,GC,6,1008.1666666666666,-0.399,133.33363,i2,2.0067537e-8,2,2.0067537e-8,-0.199,66.666588,4.4176707e-9,4.4176707e-9,1.56498663e-8
transfer,2,GC,7,1010.85,-0.399,133.33363,i2,1.5500689e-8,2,1.5500689e-8,-0.187,62.666573,4.5742636e-9,4.5742636e-9,1.0926425400000001e-8
transfer,2,GC,8,1013.6666666666666,-0.399,133.33363,i2,1.2525063e-8,2,1.2525063e-8,-0.202,67.666595,4.0686743e-9,4.0686743e-9,8.4563887e-9
transfer,2,GC,9,1016.3833333333333,-0.399,133.33363,i2,1.5729256e-8,2,1.5729256e-8,-0.205,68.666603,4.2445314e-9,4.2445314e-9,1.1484724600000001e-8
soak,3,GC,1,1130.6833333333334,-0.399,133.33363,i2,7.8218466e-7,2,7.8218466e-7,-0.135,45.333305,1.884354e-8,1.884354e-8,7.6334112e-7
transfer,3,GC,1,1136.7,-0.399,133.33363,i2,1.3910831e-7,2,1.3910831e-7,-0.171,57.33326,1.3070639e-8,1.3070639e-8,1.2603767099999998e-7
transfer,3,GC,10,1161.8833333333334,-0.399,133.33363,i2,1.2037455e-8,2,1.2037455e-8,-0.198,66.333252,4.7772089e-9,4.7772089e-9,7.2602461e-9
transfer,3,GC,11,1164.6333333333334,-0.399,133.33363,i2,8.9552374e-9,2,8.9552374e-9,-0.217,72.666634,4.4092756e-9,4.4092756e-9,4.545961799999999e-9
transfer,3,GC,12,1167.3333333333333,-0.399,133.33363,i2,1.0390064e-8,2,1.0390064e-8,-0.218,72.999969,4.5646447e-9,4.5646447e-9,5.8254193e-9
transfer,3,GC,13,1170.15,-0.399,133.33363,i2,9.4641601e-9,2,9.4641601e-9,-0.215,71.999962,4.2907322e-9,4.2907322e-9,5.173427899999999e-9
transfer,3,GC,14,1172.9,-0.399,133.33363,i2,9.8961586e-9,2,9.8961586e-9,-0.21,70.333282,3.8552197e-9,3.8552197e-9,6.0409389000000005e-9
transfer,3,GC,15,1175.7,-0.399,133.33363,i2,9.0485388e-9,2,9.0485388e-9,-0.225,75.333321,3.8570569e-9,3.8570569e-9,5.1914819000000005e-9
transfer,3,GC,2,1139.6166666666666,-0.399,133.33363,i2,8.790618e-8,2,8.790618e-8,-0.159,53.333275,1.0888044e-8,1.0888044e-8,7.7018136e-8
transfer,3,GC,3,1142.35,-0.399,133.33363,i2,4.6074611e-8,2,4.6074611e-8,-0.186,62.333241,8.4022194e-9,8.4022194e-9,3.76723916e-8
transfer,3,GC,4,1145.0833333333333,-0.399,133.33363,i2,3.6688245e-8,2,3.6688245e-8,-0.192,64.333237,7.7463147e-9,7.7463147e-9,2.8941930299999998e-8
transfer,3,GC,5,1147.7666666666667,-0.399,133.33363,i2,2.3896385e-8,2,2.3896385e-8,-0.194,64.999908,6.387455e-9,6.387455e-9,1.7508930000000002e-8
transfer,3,GC,6,1150.85,-0.399,133.33363,i2,2.1596364e-8,2,2.1596364e-8,-0.196,65.66658,6.3447185e-9,6.3447185e-9,1.52516455e-8
transfer,3,GC,7,1153.5666666666666,-0.399,133.33363,i2,1.6813795e-8,2,1.6813795e-8,-0.219,73.333305,5.5361604e-9,5.5361604e-9,1.12776346e-8
transfer,3,GC,8,1156.3166666666666,-0.399,133.33363,i2,1.5587936e-8,2,1.5587936e-8,-0.203,67.999931,5.1512927e-9,5.1512927e-9,1.04366433e-8
transfer,3,GC,9,1159.1833333333334,-0.399,133.33363,i2,1.2775956e-8,2,1.2775956e-8,-0.214,71.666626,4.9629327e-9,4.9629327e-9,7.813023300000001e-9
control,transfer,0,NA,894.6833333333333,-0.399,133.33363,i2,1.9057969e-9,2,1.9057969e-9,-0.266,89.000092,1.0217839e-9,1.0217839e-9,8.840130000000001e-10
