reactor,run,echem,rep,minutes,E_from_maxs,electrode,current_from_maxs,exp,max_current,E_from_mins,current_from_mins,min_current,signal,t_from_maxs,t_from_mins,min_time,time
soak,1,SWV,0,941.1833333333333,-0.267,i1,3.5177354e-6,1,3.5177354e-6,-0.082,1.0069284e-7,1.0069284e-7,3.41704256e-6,NA,NA,941.1833333333333,0.5
transfer,1,SWV,0,951.75,-0.268,i1,3.7691048e-6,1,3.7691048e-6,-0.095,1.0013216e-7,1.0013216e-7,3.6689726400000002e-6,NA,NA,951.75,0.5
transfer,1,SWV,9,977.2833333333333,-0.268,i1,2.6129675e-7,1,2.6129675e-7,-0.057,9.3469865e-8,9.3469865e-8,1.6782688500000002e-7,NA,NA,951.75,26.033333333333303
transfer,1,SWV,10,980.0666666666667,-0.272,i1,2.5672881e-7,1,2.5672881e-7,-0.127,8.9347168e-8,8.9347168e-8,1.6738164200000003e-7,NA,NA,951.75,28.81666666666672
transfer,1,SWV,11,983.5166666666667,-0.271,i1,2.3202558e-7,1,2.3202558e-7,-0.088,8.9742947e-8,8.9742947e-8,1.42282633e-7,NA,NA,951.75,32.26666666666665
transfer,1,SWV,12,986.2166666666667,-0.264,i1,2.3763246e-7,1,2.3763246e-7,-0.115,8.8572101e-8,8.8572101e-8,1.49060359e-7,NA,NA,951.75,34.9666666666667
transfer,1,SWV,13,988.9666666666667,-0.274,i1,2.2275776e-7,1,2.2275776e-7,-0.072,8.9825399e-8,8.9825399e-8,1.32932361e-7,NA,NA,951.75,37.7166666666667
transfer,1,SWV,14,991.7833333333333,-0.26,i1,2.1185734e-7,1,2.1185734e-7,-0.072,9.1260098e-8,9.1260098e-8,1.20597242e-7,NA,NA,951.75,40.5333333333333
transfer,1,SWV,15,994.5666666666667,-0.275,i1,2.1319309e-7,1,2.1319309e-7,-0.123,9.2562871e-8,9.2562871e-8,1.20630219e-7,NA,NA,951.75,43.31666666666672
transfer,1,SWV,1,954.6666666666666,-0.266,i1,1.263789e-6,1,1.263789e-6,-0.04,9.774098e-8,9.774098e-8,1.16604802e-6,NA,NA,951.75,3.4166666666666288
transfer,1,SWV,2,957.35,-0.265,i1,8.4358703e-7,1,8.4358703e-7,-0.034,9.783993e-8,9.783993e-8,7.457471e-7,NA,NA,951.75,6.100000000000023
transfer,1,SWV,3,960.0833333333334,-0.266,i1,6.2495195e-7,1,6.2495195e-7,-0.073,9.21506e-8,9.21506e-8,5.3280135e-7,NA,NA,951.75,8.833333333333371
transfer,1,SWV,4,963.0166666666667,-0.268,i1,4.7336849e-7,1,4.7336849e-7,-0.085,9.4459317e-8,9.4459317e-8,3.78909173e-7,NA,NA,951.75,11.766666666666652
transfer,1,SWV,5,965.75,-0.266,i1,4.0453588e-7,1,4.0453588e-7,-0.078,9.2513403e-8,9.2513403e-8,3.12022477e-7,NA,NA,951.75,14.5
transfer,1,SWV,6,968.45,-0.268,i1,3.5851005e-7,1,3.5851005e-7,-0.111,9.1853778e-8,9.1853778e-8,2.66656272e-7,NA,NA,951.75,17.200000000000045
transfer,1,SWV,7,971.6666666666666,-0.264,i1,3.0000069e-7,1,3.0000069e-7,-0.088,9.0534499e-8,9.0534499e-8,2.0946619099999998e-7,NA,NA,951.75,20.41666666666663
transfer,1,SWV,8,974.4,-0.265,i1,2.8309759e-7,1,2.8309759e-7,-0.072,9.040258e-8,9.040258e-8,1.9269500999999998e-7,NA,NA,951.75,23.149999999999977
soak,2,SWV,0,1009.4,-0.27,i1,3.5580556e-6,1,3.5580556e-6,-0.058,6.8849104e-8,6.8849104e-8,3.4892064960000003e-6,NA,NA,1009.4,0.5
transfer,2,SWV,0,1017.4666666666667,-0.27,i1,2.495718e-6,1,2.495718e-6,-0.087,9.1853764e-8,9.1853764e-8,2.4038642360000003e-6,NA,NA,1017.4666666666667,0.5
transfer,2,SWV,9,1042.5833333333333,-0.27,i1,2.1929469e-7,1,2.1929469e-7,-0.094,8.233858e-8,8.233858e-8,1.3695611e-7,NA,NA,1017.4666666666667,25.61666666666656
transfer,2,SWV,10,1045.3833333333334,-0.28,i1,2.049312e-7,1,2.049312e-7,-0.121,8.5273939e-8,8.5273939e-8,1.1965726100000002e-7,NA,NA,1017.4666666666667,28.416666666666742
transfer,2,SWV,11,1048.2333333333333,-0.261,i1,1.9958819e-7,1,1.9958819e-7,-0.083,8.3888708e-8,8.3888708e-8,1.15699482e-7,NA,NA,1017.4666666666667,31.26666666666665
transfer,2,SWV,12,1050.9666666666667,-0.263,i1,2.0575574e-7,1,2.0575574e-7,-0.104,8.5834628e-8,8.5834628e-8,1.19921112e-7,NA,NA,1017.4666666666667,34
transfer,2,SWV,13,1053.9333333333334,-0.288,i1,2.0024781e-7,1,2.0024781e-7,-0.093,7.9221813e-8,7.9221813e-8,1.21025997e-7,NA,NA,1017.4666666666667,36.9666666666667
transfer,2,SWV,14,1056.6833333333334,-0.284,i1,1.9224977e-7,1,1.9224977e-7,-0.144,8.7450722e-8,8.7450722e-8,1.04799048e-7,NA,NA,1017.4666666666667,39.7166666666667
transfer,2,SWV,15,1059.5,-0.28,i1,1.9025438e-7,1,1.9025438e-7,-0.099,8.2833296e-8,8.2833296e-8,1.07421084e-7,NA,NA,1017.4666666666667,42.5333333333333
transfer,2,SWV,1,1020.4,-0.275,i1,8.1171027e-7,1,8.1171027e-7,-0.075,8.8621576e-8,8.8621576e-8,7.23088694e-7,NA,NA,1017.4666666666667,3.4333333333332803
transfer,2,SWV,2,1023.1333333333333,-0.265,i1,5.3735283e-7,1,5.3735283e-7,-0.063,8.2486991e-8,8.2486991e-8,4.5486583900000004e-7,NA,NA,1017.4666666666667,6.166666666666629
transfer,2,SWV,3,1025.8666666666666,-0.271,i1,4.1680502e-7,1,4.1680502e-7,-0.064,7.704503e-8,7.704503e-8,3.3975999000000004e-7,NA,NA,1017.4666666666667,8.899999999999864
transfer,2,SWV,4,1028.55,-0.271,i1,3.4373429e-7,1,3.4373429e-7,-0.143,8.5818137e-8,8.5818137e-8,2.5791615300000004e-7,NA,NA,1017.4666666666667,11.583333333333258
transfer,2,SWV,5,1031.2666666666667,-0.271,i1,2.8750065e-7,1,2.8750065e-7,-0.129,8.5950063e-8,8.5950063e-8,2.0155058699999996e-7,NA,NA,1017.4666666666667,14.299999999999955
transfer,2,SWV,6,1034.4,-0.273,i1,2.650072e-7,1,2.650072e-7,-0.09,7.9436191e-8,7.9436191e-8,1.8557100900000002e-7,NA,NA,1017.4666666666667,17.433333333333394
transfer,2,SWV,7,1037.1,-0.272,i1,2.4030399e-7,1,2.4030399e-7,-0.151,8.8390699e-8,8.8390699e-8,1.5191329100000002e-7,NA,NA,1017.4666666666667,20.133333333333212
transfer,2,SWV,8,1039.8333333333333,-0.268,i1,2.2170235e-7,1,2.2170235e-7,-0.08,8.3657838e-8,8.3657838e-8,1.38044512e-7,NA,NA,1017.4666666666667,22.86666666666656
soak,3,SWV,0,1102.15,-0.268,i1,3.8686926e-6,1,3.8686926e-6,-0.049,1.0425487e-7,1.0425487e-7,3.76443773e-6,NA,NA,1102.15,0.5
transfer,3,SWV,0,1108.9833333333333,-0.27,i1,2.7713618e-6,1,2.7713618e-6,-0.075,9.7114338e-8,9.7114338e-8,2.674247462e-6,NA,NA,1108.9833333333333,0.5
transfer,3,SWV,9,1134.0833333333333,-0.268,i1,2.7989839e-7,1,2.7989839e-7,-0.092,9.3271979e-8,9.3271979e-8,1.8662641099999998e-7,NA,NA,1108.9833333333333,25.59999999999991
transfer,3,SWV,10,1136.8166666666666,-0.265,i1,2.6429808e-7,1,2.6429808e-7,-0.08,9.302461e-8,9.302461e-8,1.7127346999999996e-7,NA,NA,1108.9833333333333,28.333333333333258
transfer,3,SWV,11,1139.6333333333334,-0.264,i1,2.5484886e-7,1,2.5484886e-7,-0.117,9.351934e-8,9.351934e-8,1.6132951999999998e-7,NA,NA,1108.9833333333333,31.15000000000009
transfer,3,SWV,12,1142.4,-0.278,i1,2.4078219e-7,1,2.4078219e-7,-0.071,8.8786479e-8,8.8786479e-8,1.5199571100000002e-7,NA,NA,1108.9833333333333,33.91666666666674
transfer,3,SWV,13,1145.1666666666667,-0.278,i1,2.3194313e-7,1,2.3194313e-7,-0.097,8.6939508e-8,8.6939508e-8,1.45003622e-7,NA,NA,1108.9833333333333,36.683333333333394
transfer,3,SWV,14,1148,-0.265,i1,2.2366474e-7,1,2.2366474e-7,-0.084,9.1870263e-8,9.1870263e-8,1.3179447699999998e-7,NA,NA,1108.9833333333333,39.51666666666665
transfer,3,SWV,15,1150.7666666666667,-0.268,i1,2.2247741e-7,1,2.2247741e-7,-0.092,9.21506e-8,9.21506e-8,1.3032681e-7,NA,NA,1108.9833333333333,42.2833333333333
transfer,3,SWV,1,1111.8833333333334,-0.272,i1,1.1313185e-6,1,1.1313185e-6,-0.058,9.8697448e-8,9.8697448e-8,1.032621052e-6,NA,NA,1108.9833333333333,3.400000000000091
transfer,3,SWV,2,1114.5666666666666,-0.269,i1,7.7211587e-7,1,7.7211587e-7,-0.112,9.2430945e-8,9.2430945e-8,6.79684925e-7,NA,NA,1108.9833333333333,6.0833333333332575
transfer,3,SWV,3,1117.2833333333333,-0.27,i1,6.0709243e-7,1,6.0709243e-7,-0.056,9.4261424e-8,9.4261424e-8,5.12831006e-7,NA,NA,1108.9833333333333,8.799999999999955
transfer,3,SWV,4,1120.05,-0.27,i1,4.9508685e-7,1,4.9508685e-7,-0.092,9.3156544e-8,9.3156544e-8,4.0193030599999995e-7,NA,NA,1108.9833333333333,11.566666666666606
transfer,3,SWV,5,1122.8666666666666,-0.274,i1,4.1169287e-7,1,4.1169287e-7,-0.088,9.6174361e-8,9.6174361e-8,3.15518509e-7,NA,NA,1108.9833333333333,14.383333333333212
transfer,3,SWV,6,1125.8333333333333,-0.269,i1,3.5498101e-7,1,3.5498101e-7,-0.107,9.3090577e-8,9.3090577e-8,2.61890433e-7,NA,NA,1108.9833333333333,17.34999999999991
transfer,3,SWV,7,1128.6333333333334,-0.275,i1,3.1728302e-7,1,3.1728302e-7,-0.118,9.6669083e-8,9.6669083e-8,2.20613937e-7,NA,NA,1108.9833333333333,20.15000000000009
transfer,3,SWV,8,1131.3833333333334,-0.275,i1,2.9508641e-7,1,2.9508641e-7,-0.135,9.2661821e-8,9.2661821e-8,2.0242458899999998e-7,NA,NA,1108.9833333333333,22.90000000000009
control,transfer,0,NA,920.3333333333334,-0.399,i1,1.6330841e-7,1,1.6330841e-7,-0.096,6.9228385e-8,6.9228385e-8,9.4080025e-8,NA,NA,920.3333333333334,0.5
soak,1,SWV,0,919.7833333333333,-0.222,i1,7.7033528e-6,2,7.7033528e-6,-0.009,1.0749568e-6,1.0749568e-6,6.628396e-6,NA,NA,918.75,1.533333333333303
transfer,1,SWV,0,922.9166666666666,-0.219,i1,4.0279101e-6,2,4.0279101e-6,-0.011,1.0984237e-6,1.0984237e-6,2.9294864e-6,NA,NA,922.9166666666666,0.5
transfer,1,SWV,9,948.4833333333333,-0.219,i1,1.4279112e-6,2,1.4279112e-6,-0.036,1.0819557e-6,1.0819557e-6,3.459555000000001e-7,NA,NA,922.9166666666666,26.06666666666672
transfer,1,SWV,10,951.2,-0.216,i1,1.3988088e-6,2,1.3988088e-6,-0.058,1.0856256e-6,1.0856256e-6,3.1318320000000007e-7,NA,NA,922.9166666666666,28.783333333333417
transfer,1,SWV,11,953.8833333333333,-0.212,i1,1.3802554e-6,2,1.3802554e-6,-0.044,1.0865624e-6,1.0865624e-6,2.9369299999999985e-7,NA,NA,922.9166666666666,31.466666666666697
transfer,1,SWV,12,956.6,-0.218,i1,1.3743942e-6,2,1.3743942e-6,-0.062,1.0851584e-6,1.0851584e-6,2.8923579999999997e-7,NA,NA,922.9166666666666,34.183333333333394
transfer,1,SWV,13,959.3333333333334,-0.222,i1,1.3461366e-6,2,1.3461366e-6,-0.059,1.0871071e-6,1.0871071e-6,2.5902949999999984e-7,NA,NA,922.9166666666666,36.91666666666674
transfer,1,SWV,14,962.0833333333334,-0.214,i1,1.3448036e-6,2,1.3448036e-6,-0.056,1.0879367e-6,1.0879367e-6,2.5686690000000003e-7,NA,NA,922.9166666666666,39.66666666666674
transfer,1,SWV,15,964.8333333333334,-0.214,i1,1.3270397e-6,2,1.3270397e-6,-0.047,1.0835371e-6,1.0835371e-6,2.435026e-7,NA,NA,922.9166666666666,42.41666666666674
transfer,1,SWV,1,925.8,-0.219,i1,2.1303392e-6,2,2.1303392e-6,-0.035,1.0947907e-6,1.0947907e-6,1.0355485e-6,NA,NA,922.9166666666666,3.3833333333333258
transfer,1,SWV,2,928.6166666666667,-0.219,i1,1.8180668e-6,2,1.8180668e-6,-0.051,1.0878339e-6,1.0878339e-6,7.302329000000001e-7,NA,NA,922.9166666666666,6.2000000000000455
transfer,1,SWV,3,931.45,-0.218,i1,1.7092011e-6,2,1.7092011e-6,-0.047,1.0850326e-6,1.0850326e-6,6.241685e-7,NA,NA,922.9166666666666,9.033333333333417
transfer,1,SWV,4,934.5166666666667,-0.216,i1,1.6060494e-6,2,1.6060494e-6,-0.028,1.0864759e-6,1.0864759e-6,5.195735000000001e-7,NA,NA,922.9166666666666,12.100000000000023
transfer,1,SWV,5,937.6333333333333,-0.214,i1,1.585792e-6,2,1.585792e-6,-0.031,1.0865785e-6,1.0865785e-6,4.992134999999999e-7,NA,NA,922.9166666666666,15.216666666666697
transfer,1,SWV,6,940.3333333333334,-0.217,i1,1.4679638e-6,2,1.4679638e-6,-0.038,1.0837745e-6,1.0837745e-6,3.841893e-7,NA,NA,922.9166666666666,17.916666666666742
transfer,1,SWV,7,943.0666666666667,-0.218,i1,1.4932233e-6,2,1.4932233e-6,-0.05,1.0853062e-6,1.0853062e-6,4.079170999999999e-7,NA,NA,922.9166666666666,20.65000000000009
transfer,1,SWV,8,945.7833333333333,-0.221,i1,1.4510649e-6,2,1.4510649e-6,-0.043,1.0850194e-6,1.0850194e-6,3.6604549999999985e-7,NA,NA,922.9166666666666,23.366666666666674
soak,2,SWV,0,987.4833333333333,-0.223,i1,7.7170016e-6,2,7.7170016e-6,-0.015,1.07368e-6,1.07368e-6,6.6433216e-6,NA,NA,986.9166666666666,1.0666666666667197
transfer,2,SWV,0,991.1666666666666,-0.222,i1,6.7434321e-6,2,6.7434321e-6,-0.036,1.1358271e-6,1.1358271e-6,5.607605e-6,NA,NA,991.1666666666666,0.5
transfer,2,SWV,9,1016.6166666666667,-0.218,i1,1.433834e-6,2,1.433834e-6,-0.044,1.1391126e-6,1.1391126e-6,2.9472140000000003e-7,NA,NA,991.1666666666666,25.950000000000045
transfer,2,SWV,10,1019.7166666666667,-0.218,i1,1.4017461e-6,2,1.4017461e-6,-0.067,1.1250229e-6,1.1250229e-6,2.767231999999999e-7,NA,NA,991.1666666666666,29.050000000000068
transfer,2,SWV,11,1022.4666666666667,-0.22,i1,1.3688434e-6,2,1.3688434e-6,-0.064,1.1262895e-6,1.1262895e-6,2.425539000000001e-7,NA,NA,991.1666666666666,31.800000000000068
transfer,2,SWV,12,1025.2166666666667,-0.216,i1,1.3633008e-6,2,1.3633008e-6,-0.059,1.124084e-6,1.124084e-6,2.3921680000000014e-7,NA,NA,991.1666666666666,34.55000000000007
transfer,2,SWV,13,1027.9666666666667,-0.214,i1,1.3571353e-6,2,1.3571353e-6,-0.051,1.1279712e-6,1.1279712e-6,2.2916410000000007e-7,NA,NA,991.1666666666666,37.30000000000007
transfer,2,SWV,14,1030.5833333333333,-0.218,i1,1.352715e-6,2,1.352715e-6,-0.057,1.1222165e-6,1.1222165e-6,2.3049850000000002e-7,NA,NA,991.1666666666666,39.91666666666663
transfer,2,SWV,15,1033.3666666666666,-0.22,i1,1.3291955e-6,2,1.3291955e-6,-0.057,1.1257948e-6,1.1257948e-6,2.0340070000000003e-7,NA,NA,991.1666666666666,42.69999999999993
transfer,2,SWV,1,994.1166666666667,-0.22,i1,2.7772321e-6,2,2.7772321e-6,-0.047,1.2342065e-6,1.2342065e-6,1.5430255999999998e-6,NA,NA,991.1666666666666,3.4500000000000455
transfer,2,SWV,2,997.3666666666667,-0.221,i1,2.2016418e-6,2,2.2016418e-6,-0.034,1.2129673e-6,1.2129673e-6,9.886744999999998e-7,NA,NA,991.1666666666666,6.7000000000000455
transfer,2,SWV,3,1000.2666666666667,-0.221,i1,1.7946443e-6,2,1.7946443e-6,-0.033,1.2112031e-6,1.2112031e-6,5.834412e-7,NA,NA,991.1666666666666,9.600000000000023
transfer,2,SWV,4,1002.9666666666667,-0.22,i1,1.6607534e-6,2,1.6607534e-6,-0.029,1.1791338e-6,1.1791338e-6,4.816195999999999e-7,NA,NA,991.1666666666666,12.300000000000068
transfer,2,SWV,5,1005.7166666666667,-0.223,i1,1.5741007e-6,2,1.5741007e-6,-0.046,1.167728e-6,1.167728e-6,4.063727000000001e-7,NA,NA,991.1666666666666,15.050000000000068
transfer,2,SWV,6,1008.4166666666666,-0.214,i1,1.521512e-6,2,1.521512e-6,-0.041,1.1643531e-6,1.1643531e-6,3.5715890000000014e-7,NA,NA,991.1666666666666,17.75
transfer,2,SWV,7,1011.2166666666667,-0.222,i1,1.4712601e-6,2,1.4712601e-6,-0.046,1.1506005e-6,1.1506005e-6,3.2065960000000015e-7,NA,NA,991.1666666666666,20.550000000000068
transfer,2,SWV,8,1013.9166666666666,-0.217,i1,1.4299902e-6,2,1.4299902e-6,-0.049,1.1459645e-6,1.1459645e-6,2.840257e-7,NA,NA,991.1666666666666,23.25
soak,3,SWV,0,1131.2166666666667,-0.269,i1,6.8981681e-6,2,6.8981681e-6,-0.011,1.8591071e-6,1.8591071e-6,5.0390610000000006e-6,NA,NA,1130.6833333333334,1.033333333333303
transfer,3,SWV,0,1134.15,-0.265,i1,4.9628575e-6,2,4.9628575e-6,-0.397,1.7208317e-6,1.7208317e-6,3.2420258e-6,NA,NA,1134.15,0.5
transfer,3,SWV,9,1159.4333333333334,-0.237,i1,1.8880814e-6,2,1.8880814e-6,-0.398,1.3868271e-6,1.3868271e-6,5.012543e-7,NA,NA,1134.15,25.783333333333303
transfer,3,SWV,10,1162.1833333333334,-0.245,i1,1.861086e-6,2,1.861086e-6,-0.399,1.3700887e-6,1.3700887e-6,4.909973000000002e-7,NA,NA,1134.15,28.533333333333303
transfer,3,SWV,11,1164.9,-0.21,i1,1.8205681e-6,2,1.8205681e-6,-0.39,1.3670216e-6,1.3670216e-6,4.535465000000001e-7,NA,NA,1134.15,31.25
transfer,3,SWV,12,1167.6666666666667,-0.244,i1,1.7996248e-6,2,1.7996248e-6,-0.4,1.3463422e-6,1.3463422e-6,4.5328260000000016e-7,NA,NA,1134.15,34.01666666666665
transfer,3,SWV,13,1170.4666666666667,-0.206,i1,1.7712111e-6,2,1.7712111e-6,-0.399,1.3369754e-6,1.3369754e-6,4.342356999999999e-7,NA,NA,1134.15,36.816666666666606
transfer,3,SWV,14,1173.2166666666667,-0.226,i1,1.7532692e-6,2,1.7532692e-6,-0.385,1.3378822e-6,1.3378822e-6,4.1538700000000014e-7,NA,NA,1134.15,39.566666666666606
transfer,3,SWV,15,1176.0166666666667,-0.211,i1,1.731056e-6,2,1.731056e-6,-0.396,1.3185386e-6,1.3185386e-6,4.125174000000001e-7,NA,NA,1134.15,42.36666666666656
transfer,3,SWV,1,1137.1,-0.266,i1,2.9530738e-6,2,2.9530738e-6,-0.398,1.5898783e-6,1.5898783e-6,1.3631955e-6,NA,NA,1134.15,3.449999999999818
transfer,3,SWV,2,1139.9166666666667,-0.257,i1,2.629343e-6,2,2.629343e-6,-0.399,1.5429455e-6,1.5429455e-6,1.0863975000000001e-6,NA,NA,1134.15,6.2666666666666515
transfer,3,SWV,3,1142.6333333333334,-0.258,i1,2.3586629e-6,2,2.3586629e-6,-0.398,1.5011083e-6,1.5011083e-6,8.575546000000001e-7,NA,NA,1134.15,8.983333333333348
transfer,3,SWV,4,1145.3333333333333,-0.256,i1,2.2310901e-6,2,2.2310901e-6,-0.396,1.4712105e-6,1.4712105e-6,7.598796000000002e-7,NA,NA,1134.15,11.683333333333167
transfer,3,SWV,5,1148.05,-0.249,i1,2.1085634e-6,2,2.1085634e-6,-0.399,1.4429947e-6,1.4429947e-6,6.655686999999998e-7,NA,NA,1134.15,14.399999999999864
transfer,3,SWV,6,1151.1166666666666,-0.243,i1,2.0436391e-6,2,2.0436391e-6,-0.399,1.4110026e-6,1.4110026e-6,6.326365000000001e-7,NA,NA,1134.15,17.46666666666647
transfer,3,SWV,7,1153.85,-0.239,i1,1.9838765e-6,2,1.9838765e-6,-0.398,1.4176978e-6,1.4176978e-6,5.661787e-7,NA,NA,1134.15,20.199999999999818
transfer,3,SWV,8,1156.6833333333334,-0.233,i1,1.9280221e-6,2,1.9280221e-6,-0.389,1.4003165e-6,1.4003165e-6,5.277056e-7,NA,NA,1134.15,23.033333333333303
control,transfer,0,NA,890.35,-0.4,i1,1.2746077e-6,2,1.2746077e-6,-0.072,1.0262495e-6,1.0262495e-6,2.483582e-7,NA,NA,890.35,0.5
