Name,strain,material,replicate,RT,Area,Channel Name,Amount
PYO,wt,agar,1,6.233,48978,313.0nm,2.069
PCA,wt,agar,1,3.726,200697,364.0nm,13.352
PCN,wt,agar,1,9.071,478348,364.0nm,31.599
PYO,wt,agar,2,6.226,43440,313.0nm,1.835
PCA,wt,agar,2,3.685,150747,364.0nm,10.029
PCN,wt,agar,2,9.065,419476,364.0nm,27.71
PYO,wt,agar,3,6.243,41791,313.0nm,1.765
PCA,wt,agar,3,3.678,145807,364.0nm,9.7
PCN,wt,agar,3,9.073,390771,364.0nm,25.813
PYO,wt,biofilm,1,6.233,144296,313.0nm,6.095
PCA,wt,biofilm,1,3.804,18731,364.0nm,1.246
PCN,wt,biofilm,1,9.071,428081,364.0nm,28.278
PYO,wt,biofilm,2,6.236,133341,313.0nm,5.632
PCA,wt,biofilm,2,3.786,18272,364.0nm,1.216
PCN,wt,biofilm,2,9.064,408496,364.0nm,26.984
PYO,wt,biofilm,3,6.237,135965,313.0nm,5.743
PCA,wt,biofilm,3,3.772,18141,364.0nm,1.207
PCN,wt,biofilm,3,9.062,421803,364.0nm,27.863