measured_phenazine,Strain,Material,Condition,Rep,RT,Area,Channel Name,Amount,Quant
PYO,WT,colony,noSon,1,5.993,32519,313.0nm,0.991,auto
PCN,WT,colony,noSon,1,8.861,90256,364.0nm,6.237,auto
PCA,WT,colony,noSon,1,3.413,4515,364.0nm,0.285759494,manual
PYO,WT,colony,noSon,2,5.381,28495,313.0nm,0.86875,manual
PCA,WT,colony,noSon,2,3.387,4314,364.0nm,0.273037975,manual
PCN,WT,colony,noSon,2,8.814,80927,364.0nm,5.592,auto
PYO,WT,colony,noSon,3,5.995,29463,313.0nm,0.898,auto
PCN,WT,colony,noSon,3,8.859,77111,364.0nm,5.328,auto
PCA,WT,colony,noSon,3,3.406,4165,364.0nm,0.263607595,manual
PYO,WT,colony,withSon,1,5.985,34000,313.0nm,1.036,auto
PCN,WT,colony,withSon,1,8.851,96133,364.0nm,6.643,auto
PYO,WT,colony,withSon,2,5.99,31109,313.0nm,0.948,auto
PCN,WT,colony,withSon,2,8.859,92724,364.0nm,6.407,auto
PYO,WT,colony,withSon,3,6,30769,313.0nm,0.938,auto
PCN,WT,colony,withSon,3,8.869,96596,364.0nm,6.675,auto
PCA,WT,colony,withSon,1,3.407,4266,364.0nm,0.27,manual
PCA,WT,colony,withSon,2,3.366,3794,364.0nm,0.240126582,manual
PCA,WT,colony,withSon,3,3.379,4465,364.0nm,0.282594937,manual