"# Absorbance spectra - 1, from initial read before kinetic loop",,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6
300,0.219,0.21,0.201,0.232,0.235,0.723,0.257,0.237,0.342,0.258,0.262,0.275,0.427,0.399,0.391,0.267,0.258,0.267,0.448,0.434,0.418,0.466,0.417,0.433,0.411,0.384,0.387
310,0.153,0.146,0.14,0.173,0.173,0.861,0.211,0.182,0.327,0.209,0.214,0.23,0.432,0.4,0.394,0.222,0.208,0.215,0.456,0.443,0.423,0.484,0.42,0.441,0.408,0.378,0.388
320,0.133,0.126,0.12,0.173,0.165,0.619,0.214,0.174,0.273,0.215,0.22,0.242,0.374,0.351,0.347,0.234,0.214,0.222,0.389,0.38,0.366,0.412,0.357,0.372,0.35,0.328,0.333
330,0.12,0.113,0.107,0.202,0.177,0.295,0.219,0.17,0.201,0.24,0.246,0.272,0.304,0.294,0.291,0.265,0.24,0.248,0.305,0.301,0.295,0.323,0.287,0.291,0.281,0.27,0.269
340,0.106,0.1,0.094,0.265,0.212,0.201,0.219,0.161,0.168,0.283,0.291,0.32,0.31,0.304,0.303,0.316,0.288,0.296,0.304,0.303,0.299,0.328,0.299,0.302,0.291,0.282,0.279
350,0.094,0.089,0.084,0.35,0.268,0.19,0.218,0.151,0.149,0.344,0.354,0.386,0.348,0.344,0.344,0.386,0.355,0.364,0.343,0.344,0.339,0.372,0.348,0.351,0.339,0.33,0.327
360,0.08,0.076,0.072,0.434,0.319,0.205,0.215,0.14,0.133,0.403,0.414,0.449,0.39,0.388,0.39,0.452,0.419,0.427,0.385,0.387,0.383,0.422,0.401,0.405,0.389,0.38,0.377
370,0.064,0.061,0.058,0.418,0.325,0.219,0.208,0.13,0.117,0.408,0.42,0.456,0.372,0.37,0.373,0.463,0.423,0.431,0.387,0.391,0.386,0.405,0.386,0.392,0.394,0.384,0.384
380,0.05,0.049,0.047,0.24,0.212,0.214,0.193,0.121,0.094,0.293,0.301,0.335,0.24,0.236,0.238,0.337,0.296,0.303,0.269,0.273,0.269,0.263,0.248,0.253,0.271,0.263,0.264
390,0.042,0.042,0.041,0.163,0.134,0.134,0.183,0.119,0.069,0.221,0.228,0.261,0.161,0.16,0.162,0.257,0.219,0.226,0.169,0.173,0.172,0.174,0.166,0.168,0.169,0.165,0.166
400,0.04,0.04,0.04,0.126,0.102,0.075,0.172,0.119,0.054,0.187,0.193,0.224,0.119,0.12,0.121,0.22,0.184,0.189,0.12,0.124,0.125,0.127,0.123,0.122,0.12,0.118,0.119
410,0.039,0.038,0.038,0.096,0.072,0.057,0.156,0.117,0.049,0.153,0.158,0.186,0.093,0.095,0.095,0.181,0.147,0.153,0.087,0.091,0.092,0.099,0.096,0.095,0.086,0.085,0.086
420,0.037,0.037,0.037,0.058,0.048,0.05,0.135,0.113,0.047,0.117,0.121,0.145,0.067,0.068,0.068,0.14,0.11,0.115,0.062,0.066,0.068,0.07,0.067,0.066,0.06,0.059,0.059
430,0.037,0.036,0.037,0.041,0.039,0.045,0.114,0.106,0.045,0.097,0.1,0.119,0.055,0.055,0.055,0.116,0.09,0.093,0.053,0.057,0.058,0.057,0.053,0.053,0.051,0.05,0.051
440,0.036,0.036,0.036,0.037,0.037,0.043,0.094,0.098,0.044,0.083,0.085,0.1,0.049,0.05,0.05,0.099,0.077,0.079,0.049,0.053,0.054,0.051,0.048,0.047,0.047,0.046,0.047
450,0.035,0.035,0.036,0.036,0.036,0.042,0.076,0.088,0.042,0.071,0.072,0.083,0.046,0.046,0.046,0.083,0.066,0.068,0.046,0.05,0.051,0.047,0.046,0.044,0.044,0.044,0.044
460,0.035,0.035,0.036,0.035,0.035,0.041,0.06,0.077,0.041,0.06,0.061,0.068,0.043,0.043,0.043,0.069,0.056,0.057,0.044,0.048,0.049,0.044,0.044,0.042,0.043,0.042,0.042
470,0.035,0.035,0.035,0.035,0.035,0.04,0.048,0.066,0.039,0.051,0.052,0.056,0.041,0.041,0.042,0.058,0.048,0.049,0.042,0.046,0.047,0.043,0.043,0.041,0.041,0.041,0.041
480,0.034,0.035,0.035,0.035,0.035,0.04,0.041,0.057,0.039,0.045,0.045,0.048,0.04,0.04,0.04,0.049,0.043,0.043,0.041,0.045,0.046,0.041,0.041,0.04,0.04,0.04,0.04
490,0.034,0.035,0.035,0.035,0.035,0.04,0.037,0.05,0.039,0.041,0.041,0.042,0.039,0.039,0.039,0.043,0.039,0.04,0.04,0.044,0.045,0.041,0.041,0.039,0.04,0.039,0.039
500,0.034,0.035,0.035,0.035,0.035,0.041,0.035,0.044,0.038,0.038,0.038,0.039,0.039,0.039,0.039,0.04,0.037,0.037,0.04,0.043,0.044,0.041,0.04,0.039,0.039,0.039,0.039
510,0.034,0.034,0.034,0.035,0.034,0.042,0.034,0.039,0.038,0.037,0.037,0.037,0.039,0.039,0.039,0.037,0.035,0.036,0.04,0.043,0.044,0.041,0.04,0.039,0.039,0.039,0.039
520,0.034,0.035,0.034,0.034,0.034,0.044,0.034,0.037,0.038,0.036,0.036,0.035,0.039,0.039,0.039,0.036,0.035,0.035,0.04,0.044,0.044,0.042,0.04,0.039,0.039,0.039,0.039
530,0.034,0.034,0.034,0.034,0.034,0.047,0.034,0.036,0.038,0.035,0.035,0.035,0.039,0.04,0.039,0.036,0.035,0.035,0.041,0.044,0.044,0.042,0.04,0.04,0.04,0.039,0.039
540,0.034,0.034,0.034,0.034,0.034,0.05,0.033,0.035,0.038,0.035,0.035,0.034,0.04,0.04,0.04,0.035,0.034,0.034,0.041,0.045,0.045,0.043,0.041,0.04,0.04,0.039,0.04
550,0.034,0.034,0.034,0.034,0.033,0.054,0.033,0.034,0.039,0.035,0.035,0.034,0.041,0.041,0.041,0.035,0.034,0.034,0.042,0.045,0.045,0.044,0.042,0.041,0.041,0.04,0.04
560,0.034,0.034,0.034,0.034,0.033,0.058,0.033,0.034,0.039,0.035,0.035,0.034,0.041,0.041,0.041,0.035,0.034,0.034,0.043,0.047,0.046,0.045,0.043,0.042,0.042,0.04,0.041
570,0.034,0.034,0.034,0.034,0.033,0.063,0.033,0.034,0.04,0.034,0.034,0.033,0.043,0.042,0.042,0.035,0.034,0.034,0.044,0.048,0.047,0.047,0.045,0.044,0.043,0.041,0.042
580,0.034,0.034,0.033,0.034,0.033,0.069,0.033,0.034,0.041,0.034,0.034,0.033,0.044,0.043,0.043,0.035,0.034,0.034,0.046,0.049,0.049,0.048,0.047,0.045,0.044,0.042,0.043
590,0.034,0.034,0.033,0.034,0.033,0.075,0.033,0.034,0.042,0.034,0.034,0.033,0.045,0.045,0.045,0.035,0.035,0.034,0.048,0.051,0.05,0.05,0.049,0.048,0.046,0.044,0.045
600,0.034,0.034,0.033,0.034,0.033,0.081,0.033,0.033,0.043,0.034,0.034,0.034,0.047,0.046,0.047,0.034,0.034,0.034,0.049,0.052,0.052,0.052,0.051,0.05,0.047,0.045,0.046
610,0.034,0.034,0.033,0.033,0.033,0.088,0.033,0.033,0.044,0.034,0.034,0.033,0.049,0.048,0.048,0.034,0.034,0.033,0.051,0.054,0.053,0.054,0.052,0.052,0.048,0.046,0.048
620,0.034,0.033,0.033,0.033,0.033,0.094,0.033,0.033,0.045,0.034,0.034,0.034,0.05,0.049,0.049,0.034,0.034,0.034,0.052,0.056,0.055,0.056,0.054,0.054,0.05,0.047,0.049
630,0.034,0.033,0.032,0.033,0.033,0.1,0.033,0.033,0.046,0.034,0.033,0.033,0.052,0.05,0.05,0.034,0.034,0.033,0.054,0.057,0.056,0.058,0.056,0.056,0.051,0.048,0.05
640,0.034,0.033,0.032,0.033,0.033,0.105,0.033,0.033,0.047,0.034,0.034,0.033,0.053,0.051,0.051,0.033,0.034,0.033,0.056,0.059,0.057,0.059,0.057,0.057,0.052,0.049,0.052
650,0.034,0.033,0.032,0.033,0.033,0.109,0.032,0.033,0.048,0.033,0.033,0.033,0.054,0.052,0.052,0.034,0.034,0.033,0.058,0.06,0.059,0.061,0.059,0.059,0.054,0.05,0.053
660,0.033,0.033,0.032,0.033,0.033,0.113,0.032,0.033,0.049,0.033,0.033,0.033,0.055,0.053,0.053,0.033,0.034,0.033,0.058,0.061,0.06,0.062,0.059,0.06,0.055,0.051,0.054
670,0.034,0.033,0.032,0.033,0.033,0.116,0.032,0.033,0.05,0.033,0.033,0.033,0.056,0.054,0.053,0.033,0.033,0.033,0.059,0.061,0.06,0.062,0.06,0.06,0.055,0.052,0.054
680,0.033,0.033,0.032,0.032,0.032,0.117,0.032,0.032,0.049,0.033,0.033,0.033,0.056,0.054,0.053,0.033,0.033,0.033,0.06,0.062,0.061,0.063,0.06,0.061,0.056,0.052,0.055
690,0.034,0.033,0.032,0.032,0.032,0.118,0.032,0.033,0.05,0.033,0.033,0.033,0.057,0.054,0.053,0.033,0.034,0.033,0.06,0.063,0.061,0.063,0.06,0.061,0.056,0.052,0.055
700,0.033,0.033,0.032,0.033,0.033,0.117,0.032,0.033,0.05,0.033,0.033,0.033,0.057,0.054,0.054,0.033,0.033,0.033,0.06,0.062,0.06,0.063,0.06,0.061,0.056,0.052,0.055