Wavelength,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
300,0.685,0.687,0.706,0.688,0.666,0.663,0.365,0.363,0.357,0.357,0.351,0.376,0.385,0.442,0.366,0.374,0.369,0.377,0.415,0.406,0.473,0.423,0.392,0.381
310,0.777,0.778,0.812,0.74,0.713,0.709,0.324,0.323,0.32,0.283,0.273,0.293,0.353,0.434,0.337,0.31,0.301,0.293,0.392,0.383,0.486,0.344,0.335,0.329
320,0.569,0.57,0.591,0.551,0.532,0.529,0.284,0.283,0.28,0.249,0.241,0.258,0.327,0.372,0.314,0.29,0.282,0.275,0.351,0.343,0.411,0.304,0.299,0.297
330,0.302,0.304,0.308,0.306,0.297,0.294,0.237,0.236,0.233,0.213,0.206,0.218,0.303,0.301,0.293,0.276,0.268,0.265,0.307,0.3,0.32,0.267,0.262,0.263
340,0.224,0.226,0.225,0.225,0.219,0.215,0.208,0.208,0.205,0.189,0.183,0.193,0.314,0.295,0.305,0.289,0.283,0.278,0.31,0.304,0.312,0.264,0.262,0.265
350,0.212,0.214,0.214,0.209,0.202,0.2,0.187,0.187,0.184,0.17,0.166,0.174,0.342,0.316,0.334,0.318,0.313,0.308,0.339,0.332,0.343,0.283,0.285,0.289
360,0.217,0.219,0.222,0.212,0.206,0.203,0.162,0.162,0.161,0.149,0.145,0.153,0.367,0.337,0.361,0.346,0.341,0.335,0.364,0.357,0.375,0.303,0.307,0.312
370,0.202,0.203,0.21,0.197,0.19,0.188,0.119,0.119,0.119,0.11,0.108,0.115,0.323,0.3,0.319,0.308,0.303,0.298,0.339,0.331,0.356,0.284,0.289,0.293
380,0.181,0.181,0.191,0.178,0.173,0.172,0.08,0.08,0.081,0.077,0.076,0.082,0.194,0.192,0.192,0.191,0.189,0.186,0.224,0.218,0.246,0.204,0.204,0.205
390,0.115,0.115,0.121,0.118,0.114,0.115,0.06,0.06,0.061,0.061,0.061,0.064,0.135,0.132,0.135,0.138,0.137,0.136,0.145,0.141,0.159,0.141,0.139,0.139
400,0.067,0.068,0.071,0.072,0.071,0.071,0.05,0.051,0.051,0.054,0.053,0.055,0.106,0.1,0.107,0.112,0.11,0.11,0.109,0.106,0.115,0.109,0.107,0.107
410,0.052,0.052,0.055,0.057,0.056,0.057,0.047,0.047,0.048,0.051,0.051,0.053,0.086,0.081,0.087,0.093,0.092,0.093,0.083,0.08,0.086,0.09,0.086,0.085
420,0.046,0.047,0.049,0.051,0.05,0.05,0.046,0.045,0.046,0.051,0.051,0.053,0.063,0.063,0.064,0.073,0.073,0.074,0.062,0.061,0.065,0.076,0.071,0.069
430,0.043,0.043,0.045,0.047,0.047,0.047,0.045,0.044,0.045,0.051,0.051,0.054,0.052,0.054,0.053,0.064,0.065,0.066,0.055,0.053,0.058,0.068,0.064,0.063
440,0.041,0.042,0.043,0.045,0.045,0.045,0.043,0.042,0.043,0.05,0.05,0.053,0.048,0.05,0.049,0.059,0.06,0.061,0.052,0.051,0.054,0.064,0.059,0.058
450,0.041,0.041,0.042,0.044,0.044,0.044,0.041,0.041,0.042,0.048,0.048,0.05,0.045,0.048,0.045,0.054,0.056,0.056,0.049,0.048,0.051,0.059,0.055,0.054
460,0.04,0.04,0.041,0.043,0.042,0.043,0.04,0.04,0.041,0.045,0.045,0.046,0.042,0.045,0.043,0.05,0.051,0.051,0.047,0.046,0.05,0.055,0.051,0.051
470,0.04,0.04,0.04,0.042,0.042,0.043,0.039,0.039,0.04,0.043,0.043,0.044,0.041,0.044,0.041,0.046,0.047,0.047,0.046,0.045,0.049,0.051,0.048,0.048
480,0.039,0.039,0.039,0.041,0.041,0.042,0.038,0.038,0.039,0.042,0.042,0.042,0.04,0.043,0.04,0.044,0.045,0.044,0.045,0.044,0.048,0.05,0.047,0.046
490,0.039,0.04,0.039,0.041,0.041,0.042,0.037,0.038,0.038,0.041,0.041,0.042,0.039,0.042,0.039,0.043,0.043,0.042,0.044,0.043,0.047,0.048,0.046,0.045
500,0.04,0.04,0.04,0.041,0.041,0.042,0.037,0.037,0.038,0.04,0.04,0.041,0.039,0.042,0.038,0.042,0.043,0.042,0.044,0.042,0.046,0.047,0.045,0.045
510,0.042,0.041,0.041,0.042,0.042,0.043,0.037,0.038,0.038,0.04,0.04,0.041,0.039,0.042,0.038,0.042,0.043,0.042,0.043,0.042,0.046,0.046,0.045,0.044
520,0.043,0.043,0.043,0.044,0.044,0.044,0.037,0.037,0.038,0.039,0.04,0.041,0.039,0.042,0.038,0.041,0.043,0.041,0.043,0.042,0.046,0.045,0.044,0.044
530,0.045,0.045,0.045,0.046,0.045,0.045,0.036,0.037,0.038,0.039,0.04,0.041,0.039,0.042,0.038,0.041,0.042,0.041,0.043,0.042,0.046,0.044,0.044,0.044
540,0.048,0.048,0.049,0.048,0.048,0.048,0.036,0.037,0.038,0.039,0.039,0.04,0.039,0.043,0.038,0.041,0.042,0.041,0.043,0.042,0.047,0.044,0.043,0.043
550,0.051,0.051,0.052,0.051,0.05,0.051,0.037,0.038,0.039,0.039,0.039,0.04,0.039,0.043,0.038,0.041,0.042,0.04,0.044,0.042,0.048,0.043,0.043,0.043
560,0.055,0.054,0.055,0.055,0.054,0.053,0.037,0.038,0.039,0.039,0.039,0.04,0.04,0.044,0.038,0.041,0.041,0.04,0.044,0.043,0.049,0.044,0.043,0.043
570,0.059,0.058,0.06,0.059,0.057,0.057,0.037,0.039,0.039,0.039,0.039,0.04,0.04,0.045,0.039,0.041,0.041,0.04,0.045,0.043,0.05,0.044,0.043,0.043
580,0.064,0.062,0.065,0.063,0.061,0.062,0.038,0.039,0.04,0.039,0.039,0.04,0.04,0.046,0.039,0.04,0.041,0.039,0.046,0.044,0.052,0.044,0.044,0.043
590,0.068,0.067,0.07,0.068,0.066,0.066,0.039,0.04,0.04,0.04,0.04,0.04,0.041,0.047,0.039,0.041,0.041,0.04,0.047,0.044,0.053,0.045,0.044,0.044
600,0.074,0.072,0.076,0.072,0.07,0.071,0.039,0.04,0.041,0.04,0.04,0.041,0.042,0.049,0.04,0.041,0.041,0.04,0.048,0.045,0.056,0.046,0.045,0.045
610,0.079,0.078,0.082,0.077,0.075,0.076,0.04,0.041,0.041,0.04,0.04,0.041,0.042,0.05,0.04,0.042,0.042,0.04,0.049,0.046,0.058,0.047,0.046,0.046
620,0.084,0.082,0.086,0.082,0.079,0.08,0.041,0.041,0.041,0.04,0.04,0.042,0.042,0.051,0.041,0.042,0.043,0.041,0.05,0.047,0.059,0.048,0.047,0.046
630,0.088,0.087,0.091,0.086,0.084,0.084,0.041,0.041,0.042,0.04,0.041,0.043,0.042,0.053,0.041,0.042,0.043,0.041,0.051,0.048,0.061,0.048,0.048,0.047
640,0.093,0.091,0.096,0.091,0.088,0.088,0.042,0.042,0.042,0.041,0.041,0.043,0.043,0.054,0.041,0.043,0.043,0.042,0.052,0.048,0.062,0.049,0.049,0.047
650,0.096,0.095,0.1,0.094,0.091,0.092,0.042,0.042,0.043,0.041,0.041,0.044,0.043,0.055,0.042,0.043,0.044,0.042,0.053,0.049,0.064,0.05,0.049,0.048
660,0.099,0.098,0.103,0.097,0.094,0.095,0.042,0.043,0.043,0.041,0.042,0.044,0.043,0.056,0.042,0.043,0.044,0.043,0.053,0.049,0.064,0.05,0.05,0.049
670,0.101,0.1,0.105,0.099,0.096,0.097,0.043,0.043,0.043,0.041,0.042,0.044,0.043,0.056,0.042,0.043,0.045,0.043,0.054,0.05,0.065,0.05,0.05,0.049
680,0.102,0.101,0.106,0.101,0.098,0.098,0.043,0.043,0.043,0.041,0.042,0.044,0.043,0.056,0.042,0.044,0.045,0.043,0.054,0.05,0.066,0.05,0.05,0.049
690,0.102,0.102,0.107,0.101,0.098,0.098,0.043,0.042,0.043,0.041,0.042,0.045,0.043,0.057,0.042,0.044,0.045,0.044,0.054,0.05,0.066,0.05,0.05,0.049
700,0.102,0.101,0.106,0.101,0.098,0.098,0.043,0.043,0.044,0.042,0.042,0.045,0.043,0.057,0.042,0.044,0.045,0.044,0.054,0.051,0.065,0.05,0.05,0.049