well,red,ox,red_ox,DNA,rep,exp
A1,PBS,PYO,PBS_PYO,F,1,ref
A2,PBS,PYO,PBS_PYO,F,2,ref
A3,PBS,PYO,PBS_PYO,F,3,ref
A4,PBS,PYO,PBS_PYO,T,1,ref
A5,PBS,PYO,PBS_PYO,T,2,ref
A6,PBS,PYO,PBS_PYO,T,3,ref
B1,PYO,PBS,PYO_PBS,F,1,ref
B2,PYO,PBS,PYO_PBS,F,2,ref
B3,PYO,PBS,PYO_PBS,F,3,ref
B4,PYO,PBS,PYO_PBS,T,1,ref
B5,PYO,PBS,PYO_PBS,T,2,ref
B6,PYO,PBS,PYO_PBS,T,3,ref
C1,PCA,PYO,PCA_PYO,F,1,exp
C2,PCA,PYO,PCA_PYO,F,2,exp
C3,PCA,PYO,PCA_PYO,F,3,exp
C4,PCA,PYO,PCA_PYO,T,1,exp
C5,PCA,PYO,PCA_PYO,T,2,exp
C6,PCA,PYO,PCA_PYO,T,3,exp
D1,PCN,PYO,PCN_PYO,F,1,exp
D2,PCN,PYO,PCN_PYO,F,2,exp
D3,PCN,PYO,PCN_PYO,F,3,exp
D4,PCN,PYO,PCN_PYO,T,1,exp
D5,PCN,PYO,PCN_PYO,T,2,exp
D6,PCN,PYO,PCN_PYO,T,3,exp