wavelength,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
525,48560,49920,45341,37350,24301,15839,9017,4449,2230,1136,545,622
530,54374,55754,51194,42303,27965,18507,10625,5245,2607,1324,636,731
535,55732,57010,52506,43673,29038,19617,11332,5564,2778,1406,682,774
540,53703,54876,50822,42191,28476,19425,11317,5569,2797,1408,689,777
545,49890,50991,46955,39175,26697,18489,10883,5369,2673,1363,669,748
550,45517,46555,42993,35952,24704,17196,10165,5034,2513,1271,630,711
555,41867,43151,39855,33324,22925,16213,9546,4725,2368,1212,605,684
560,39514,40172,37242,31263,21663,15338,9079,4477,2267,1162,584,652
565,37291,38285,35205,29654,20650,14732,8712,4313,2179,1114,566,636
570,34600,35483,32828,27741,19330,13802,8193,4081,2051,1070,543,606
575,31982,32837,30189,25318,17825,12848,7678,3797,1931,1003,517,566
580,28870,29495,27309,23093,16351,11764,7043,3510,1788,922,489,528
585,25335,25893,24057,20354,14422,10470,6256,3117,1587,836,437,481
590,22116,22616,21170,17814,12686,9188,5570,2752,1411,750,391,422
595,19102,19758,18346,15538,11055,7990,4863,2399,1247,658,355,378
600,16645,16959,15808,13448,9597,6965,4189,2092,1076,577,314,332
605,14432,14791,13856,11821,8497,6098,3710,1837,964,514,286,297
610,12718,13035,12088,10389,7476,5394,3282,1628,856,460,263,266
615,11148,11378,10707,9068,6564,4726,2894,1438,765,420,240,242
620,9654,10025,9356,7966,5806,4169,2549,1283,679,374,220,223
625,8317,8708,8177,6933,5105,3659,2258,1139,614,339,202,204