measured_phenazine,Strain,Day,Condition,Rep,RT,Area,Channel Name,Amount,Quant
PYO,dPHZstar,D3,PCA,1,6.207,2449,313.0nm,0.083,auto
PCA,dPHZstar,D3,PCA,1,3.979,5814,364.0nm,0.376,auto
PYO,dPHZstar,D3,PCA,2,5.989,1474,313.0nm,0.05,auto
PCA,dPHZstar,D3,PCA,2,3.882,4155,364.0nm,0.269,auto
PCA,dPHZstar,D3,PCA,3,3.532,4785,364.0nm,0.303,manual
PYO,dPHZstar,D3,PCA,3,5.973,2343,313.0nm,0.08,auto
PCA,dPHZstar,D4,PCA,1,NA,NA,364.0nm,NA,manual
PCA,dPHZstar,D4,PCA,2,NA,NA,364.0nm,NA,manual
PCA,dPHZstar,D4,PCA,3,NA,NA,364.0nm,NA,manual
PCN,dPHZstar,D3,PCN,1,8.875,35318,364.0nm,2.469,auto
PCN,dPHZstar,D3,PCN,2,8.887,35640,364.0nm,2.492,auto
PCN,dPHZstar,D3,PCN,3,8.874,34703,364.0nm,2.426,auto
PCN,dPHZstar,D4,PCN,1,8.879,1754,364.0nm,0.120965517,manual
PCN,dPHZstar,D4,PCN,2,8.88,1863,364.0nm,0.128482759,manual
PCN,dPHZstar,D4,PCN,3,8.869,1917,364.0nm,0.132206897,manual
PYO,dPHZstar,D3,PYO,1,6.017,287114,313.0nm,9.77,auto
PYO,dPHZstar,D3,PYO,2,6.013,283318,313.0nm,9.641,auto
PYO,dPHZstar,D3,PYO,3,6.028,266024,313.0nm,9.052,auto
PYO,dPHZstar,D4,PYO,1,6.041,67331,313.0nm,2.291,auto
PYO,dPHZstar,D4,PYO,2,6.023,47530,313.0nm,1.617,auto
PYO,dPHZstar,D4,PYO,3,6.015,74868,313.0nm,2.548,auto
PYO,dPHZstar,D3,PHZ,1,6.001,113181,313.0nm,3.851,auto
PCN,dPHZstar,D3,PHZ,1,8.862,33833,364.0nm,2.365,auto
PCA,dPHZstar,D3,PHZ,1,3.397,2635,364.0nm,0.166772152,manual
PYO,dPHZstar,D3,PHZ,2,5.997,115402,313.0nm,3.927,auto
PCN,dPHZstar,D3,PHZ,2,8.861,33457,364.0nm,2.339,auto
PCA,dPHZstar,D3,PHZ,2,3.374,3090,364.0nm,0.19556962,manual
PYO,dPHZstar,D3,PHZ,3,6.005,117028,313.0nm,3.982,auto
PCN,dPHZstar,D3,PHZ,3,8.871,35511,364.0nm,2.483,auto
PCA,dPHZstar,D3,PHZ,3,3.352,2797,364.0nm,0.177025316,manual
PYO,dPHZstar,D4,PHZ,1,5.997,15468,313.0nm,0.526,auto
PYO,dPHZstar,D4,PHZ,2,6,16151,313.0nm,0.55,auto
PYO,dPHZstar,D4,PHZ,3,5.995,20086,313.0nm,0.683,auto
PCN,dPHZstar,D4,PHZ,1,8.864,1656,364.0nm,0.114206897,manual
PCN,dPHZstar,D4,PHZ,2,8.864,1817,364.0nm,0.125310345,manual
PCN,dPHZstar,D4,PHZ,3,8.863,1481,364.0nm,0.102137931,manual
PCA,dPHZstar,D4,PHZ,1,,NA,364.0nm,NA,manual
PCA,dPHZstar,D4,PHZ,2,,NA,364.0nm,NA,manual
PCA,dPHZstar,D4,PHZ,3,,NA,364.0nm,NA,manual